Loan ID,Customer ID,Loan Status,Current Loan Amount,Term,Credit Score
14dd8831-6af5-400b-83ec-68e61888a048,981165ec-3274-42f5-a3b4-d104041a9ca9,Fully Paid,445412,Short Term,709
4771cc26-131a-45db-b5aa-537ea4ba5342,2de017a3-2e01-49cb-a581-08169e83be29,Fully Paid,262328,Short Term,200
83721ffb-b99a-4a0f-aea5-ef472a1138b41,12116614-2f3c-4d16-ad34-d92883718806,Fully Paid,176242,Short Term,727
